Nombre_departamento;Codigo_departamento;Nombre_corto
Colombia;57;CO
Antioquia;05;ANT
Atlántico;08;ATL
Bogotá D.C.;11;DC
Bolívar;13;BOL
Boyacá;15;BOY
Caldas;17;CAL
Caquetá;18;CAQ
Cauca;19;CAU
Cesar;20;CES
Córdoba;23;COR
Cundinamarca;25;CUN
Chocó;27;CHO
Huila;41;HUI
La Guajira;44;LAG
Magdalena;47;MAG
Meta;50;MET
Nariño;52;NAR
Norte de Santander;54;NSA
Quindío;63;QUI
Risaralda;66;RIS
Santander;68;SAN
Sucre;70;SUC
Tolima;73;TOL
Valle del Cauca;76;VAC
Arauca;81;ARA
Casanare;85;CAS
Putumayo;86;PUT
San Andrés;88;SAP
Amazonas;91;AMA
Guainía;94;GUA
Guaviare;95;GUV
Vaupés;97;VAU
Vichada;99;VID
